64,1994.26,1954.2,2022.14,2006.48,1956.28,1868.76,1946.59,2014.19,1941.14,1997.64,1921.88,1995.41,1948.73,1959.53,2010.41,2012.42,2014.34,2024.01,2027.33,2021.46,1938.82,1983.1,2016.71,2004.45,2024.56,1868.76,1984.19,2027.33
128,2607.16,2590.1,2557.81,2616.99,2617.18,2606.81,2660.31,2628.9,2644.27,2635.54,2597.85,2187.83,2340.62,2502.55,2559.81,2579.55,2608.36,1632.17,2532.26,2522.3,2564.09,2598.54,2531.1,2531.36,2537.73,1632.17,2519.65,2660.31
256,3061.14,3091.12,3077.26,3045.29,3088.67,3097.24,3145.36,3076.14,3060.27,3073.38,3186.22,3133.81,3074.32,3099.83,3045.68,3045.83,3089.48,2546.55,3056.23,3112.43,2962.01,3069.27,3104.24,3045.67,3004.24,2546.55,3055.67,3186.22
512,3101.3,3286.83,3285.34,3307.34,3381.94,3387.67,3401.11,3278.58,3033.26,3323.22,3269.25,2175.76,3167.39,3224.17,3294.41,3362.99,3287.91,3290.96,3220.79,3275.19,3298.43,3325.42,3372.31,3104.32,2747.08,2175.76,3208.12,3401.11
1024,3461.89,3410,3229.21,3321.17,3469.24,3558.63,3537.11,3422.19,3457.62,3495.45,3462.8,3535.71,3576.11,3446.86,3402.24,3519.72,3517.55,2846.19,3365.61,3322.58,3362.02,3440.85,3528.56,3470.29,3534.81,2846.19,3427.78,3576.11
2048,3666.26,3660.08,3654.88,3589.46,3538.1,3618.82,3622.04,3589.1,3574.3,3654.82,3637.52,3528.06,3635.28,3586.38,3609.11,3539.25,3584.76,3680.04,3451.1,3495.62,3700.47,3613.91,3583.2,3667.11,3656.47,3451.1,3605.45,3700.47
4096,3884.89,3729.03,3757.2,3735.03,3781.46,3689.86,3851.42,3821.97,3868.83,3925.64,3870.35,3637.21,3845.23,3828.83,3795.43,3889.8,3763.23,3746.47,3835.16,3788.25,3833.6,3857.04,3898.32,3876.72,3780.23,3637.21,3811.65,3925.64
8192,5365.25,5361.93,5374.83,5160.26,5227.35,5235.54,5329.33,5410.78,4621.4,5377.56,5170.69,5348.47,5375.32,5396.87,5446.8,5418.17,5317.87,5134.06,5401.21,5267.74,5191.89,5253.16,5366.82,5283.67,5332.13,4621.4,5286.76,5446.8
16384,6474.98,6435.4,6590.76,6505.84,6818.91,6761,6838.3,6708.67,6761.22,6848.67,6567.35,6369.69,6597.57,6704.11,6641.19,6740.95,6558.33,6548.5,6651.73,6456.18,6492.91,6148.19,6681.43,6742.2,6802.65,6148.19,6617.87,6848.67
32768,7560.89,7609.29,7501.43,7465.39,7500.03,7584.98,6795.23,7828.05,7667.23,7530.26,7492.03,7584.66,7550.58,7665.77,7695.69,7382.29,7238.27,7605.66,7667.59,7484.57,7635.31,7628.05,7473.96,7510.5,7341.3,6795.23,7519.96,7828.05
65536,7646.74,7723.19,7821.37,7608.14,8124.62,7788.6,5573.27,8009.1,7829.8,7734.82,7822.04,7839.3,7674.1,7776.78,7652.45,7848.85,7838.07,7929.37,7714.01,7982.96,7967.45,7665.21,8108.25,8144.72,8101.86,5573.27,7757,8144.72
131072,7807.31,8128.19,7795.83,7793.69,7687.13,8129.25,7886.61,7476.29,7955.14,7916.01,5792.74,5790.87,7919.58,7989.87,7808.25,7676.39,7690.92,7864.14,8188.72,7795.77,7980.02,8218.92,8133.89,6649.83,7444.76,5790.87,7660.8,8218.92
262144,7571.63,7784.59,7711.77,7791.36,7540.87,7788.3,7972.22,7728.75,7835.39,7872.08,7786.89,7770.62,7914,7435.48,7656.21,7627.17,7788.12,7620.88,7836.14,7788.91,8088.5,7481.42,7857.13,7791.57,7688.1,7435.48,7749.12,8088.5
524288,7499.36,7367.19,7448.7,7874.4,7599.64,7438.5,7381.48,7486.18,7661.54,7742.33,6457.99,7580.39,7417.39,7564.43,7562.33,7505.26,7670.76,7757.66,7742.87,7779.23,7869.35,7628.17,7296.5,7699.79,7716.45,6457.99,7549.92,7874.4
1048576,7401.75,6205.2,7152.49,7908.97,7013.75,7477.14,7347.98,7465.57,7190.22,7630.63,7117.94,7269.92,7254.66,7084.27,6921.07,7088.6,7363.3,7555.69,6229.22,6668.36,7268.55,7583.3,7377.98,7337.01,7094.87,6205.2,7200.34,7908.97
